Time Rate1 Rate2 Rate3 Rate4 Rate5 Rate6
53338.2 0 2 0 1 0 0
53338.3 0 1 2 1 0 0
53338.4 1 1 2 0 0 0
53338.5 1 0 2 3 0 0
53338.6 3 1 1 1 0 0
53338.7 1 1 2 1 0 0
53338.8 1 2 0 2 0 0
53338.9 0 0 1 0 0 0
53339.0 0 0 1 3 0 0
53339.1 0 0 2 0 0 0
53339.2 1 1 1 2 0 0
53339.3 3 2 1 1 0 0
53339.4 0 2 1 0 0 0
53339.5 2 0 1 0 0 0
53339.6 3 0 3 1 0 0
53339.7 0 0 3 0 0 0
53339.8 0 1 1 1 0 0
53339.9 2 0 2 1 0 0
53340.0 1 0 0 2 0 0
53340.1 0 1 0 0 0 0
53340.2 1 1 2 3 0 0
53340.3 2 1 3 1 0 0
53340.4 0 1 0 1 0 0
53340.5 0 0 0 3 0 0
53340.6 0 0 2 0 0 0
53340.7 4 0 1 0 0 0
53340.8 2 2 1 2 0 0
53340.9 0 2 1 2 0 0
53341.0 1 1 0 1 0 0
53341.1 1 2 0 0 0 0
53341.2 1 1 2 4 0 0
53341.3 4 0 2 0 0 0
53341.4 3 0 0 0 0 0
53341.5 1 2 1 3 0 0
53341.6 2 0 1 1 0 0
53341.7 1 1 2 1 0 0
53341.8 2 1 1 2 0 0
53341.9 2 3 0 4 0 0
53342.0 1 1 0 0 0 0
53342.1 1 2 0 0 0 0
53342.2 2 1 2 0 0 0
53342.3 0 4 1 2 0 0
53342.4 1 2 2 1 0 0
53342.5 1 1 3 1 0 0
53342.6 1 0 0 2 0 0
53342.7 0 0 3 3 0 0
53342.8 2 1 0 0 0 0
53342.9 2 1 1 3 0 0
53343.0 1 2 2 0 0 0
53343.1 0 1 1 1 0 0
53343.2 1 1 2 0 0 0
53343.3 1 0 2 1 0 0
53343.4 1 1 0 0 0 0
53343.5 0 0 1 1 0 0
53343.6 1 1 1 2 0 0
53343.7 3 1 1 1 0 0
53343.8 1 1 1 1 0 0
53343.9 3 2 3 3 0 0
53344.0 0 1 0 1 0 0
53344.1 3 2 2 1 0 0
53344.2 2 1 2 2 0 0
53344.3 2 2 1 1 0 0
53344.4 1 0 0 0 0 0
53344.5 0 0 0 1 0 0
